community_id,community_name,state,year,population,youth_population,median_income,poverty_rate,pct_bachelors,tennis_courts_per_100k,pop_density,d1_players,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,d1_rate_per_100k
C0000,MN Community 000,MN,2022,90477,19140,38745,32.93,17.19,0.801,87.0,0,-0.0183,0.8131,-1.4462,-0.3389,1.5844,0.2029,0.0
C0001,VA Community 001,VA,2022,55908,11138,79543,28.2,38.76,4.357,1824.5,0,0.2804,0.7969,0.1444,-0.277,-0.2301,0.5081,0.0
C0002,TN Community 002,TN,2022,15212,3126,86519,24.0,40.63,0.773,254.5,0,0.4868,-2.8244,-0.7699,-1.2151,0.5309,-0.466,0.0
C0003,VA Community 003,VA,2022,26561,5536,70085,30.76,31.2,1.856,2243.1,0,-1.2144,-0.7695,-0.9102,0.6244,-0.3406,-0.1164,0.0
C0004,MA Community 004,MA,2022,103828,26326,84726,28.5,47.2,2.292,4296.1,0,0.8543,0.3337,-0.5799,2.0737,-1.6238,-0.5382,0.0
C0005,AZ Community 005,AZ,2022,145116,34888,79553,20.82,42.86,3.774,1017.2,0,-2.4662,0.2503,0.7862,1.8142,-1.2037,-1.3072,0.0
C0006,TX Community 006,TX,2022,59936,13799,75669,24.48,48.55,6.006,1095.8,0,0.5307,-2.04,-1.1114,-1.2017,-2.2253,-0.4889,0.0
C0007,WA Community 007,WA,2022,8682,2128,71526,26.49,26.5,2.981,39.4,0,-0.9006,-0.7823,-0.78,-0.9652,-0.4804,-0.1756,0.0
C0008,MN Community 008,MN,2022,37786,7639,78379,18.25,36.72,2.245,220.5,0,-0.299,-0.5786,1.7575,-0.4446,0.378,0.7954,0.0
C0009,NY Community 009,NY,2022,59993,15788,85511,26.77,34.29,4.059,901.7,1,1.303,1.1461,0.4327,-0.2431,-0.5223,1.1174,1.6669
C0010,OR Community 010,OR,2022,53452,12388,85829,21.05,27.35,4.404,1652.7,1,1.6181,0.7468,-0.1296,-1.1961,1.1701,-0.0126,1.8708
C0011,CO Community 011,CO,2022,123426,26765,23437,28.44,17.7,0.063,734.4,0,1.5627,1.4358,1.4541,1.762,0.0901,-0.3512,0.0
C0012,PA Community 012,PA,2022,197212,44155,57655,26.48,31.03,1.854,271.4,2,-0.587,0.6172,0.916,0.4451,0.2632,0.444,1.0141
C0013,OR Community 013,OR,2022,92381,23862,80397,25.85,31.65,4.726,2964.5,2,0.8445,-0.7585,-0.4066,-0.1926,0.1573,-0.1151,2.1649
C0014,TN Community 014,TN,2022,95364,24103,40245,30.73,24.95,1.636,1199.6,0,0.3652,0.327,1.6495,0.6907,-0.6483,1.0582,0.0
C0015,MA Community 015,MA,2022,23721,5151,74422,27.66,31.31,1.659,2270.7,0,0.7366,-0.3856,1.7462,-0.9618,0.4648,1.3389,0.0
C0016,AZ Community 016,AZ,2022,55390,12288,50218,31.6,21.17,1.039,1703.7,0,-1.0949,0.1543,-0.4749,-0.5928,1.1413,-1.065,0.0
C0017,MN Community 017,MN,2022,14558,3271,98740,25.41,37.42,4.279,1136.0,0,0.9537,-1.1669,0.2533,-2.485,0.556,-1.1478,0.0
C0018,TX Community 018,TX,2022,59912,11409,73047,24.2,45.07,2.2,1220.6,0,1.9834,1.619,-0.8693,0.5007,-1.6625,0.5223,0.0
C0019,OH Community 019,OH,2022,66318,16206,61822,28.31,30.25,2.378,568.5,0,0.0016,-0.1059,0.4362,0.8642,-0.1148,-1.3308,0.0
C0020,NC Community 020,NC,2022,200909,41085,82904,22.9,31.0,1.94,82.8,1,0.4247,1.8979,-0.3214,-0.4884,0.9842,0.0466,0.4977
C0021,FL Community 021,FL,2022,174186,29143,91502,27.66,49.35,3.575,1701.3,1,0.5869,1.5866,-0.7168,-1.3056,0.4228,-0.9995,0.5741
C0022,TX Community 022,TX,2022,213410,43177,82438,23.6,40.89,4.456,942.0,0,0.8066,0.5477,0.4633,-1.2206,0.3467,1.4569,0.0
C0023,TN Community 023,TN,2022,86616,20208,61237,23.18,25.13,0.05,1865.8,0,0.8213,-0.7967,1.212,-1.0468,-0.5616,1.0887,0.0
C0024,IL Community 024,IL,2022,13177,2905,40009,37.34,22.0,3.105,521.3,0,0.942,-1.2559,1.2757,2.1549,1.0885,-0.8083,0.0
C0025,TX Community 025,TX,2022,126140,25979,78950,20.14,23.94,0.976,188.8,0,-0.3632,1.6654,0.0877,0.7996,-0.0432,-0.3576,0.0
C0026,MN Community 026,MN,2022,170833,34378,84234,19.92,25.09,3.433,6780.2,0,0.8768,0.012,1.3476,-1.7066,0.0885,-0.6709,0.0
C0027,AZ Community 027,AZ,2022,80839,15715,95534,23.4,45.81,4.909,439.5,0,-0.8912,-0.2102,1.1802,-0.4878,0.1413,-0.3265,0.0
C0028,WA Community 028,WA,2022,172437,48302,86362,17.71,24.99,3.862,1173.2,0,0.8362,0.9744,-0.9051,-0.8936,-0.1201,-0.4165,0.0
C0029,NC Community 029,NC,2022,57999,10851,136106,12.12,66.25,5.774,1891.2,2,1.8287,-1.2732,-1.0325,-0.4982,-1.8186,-1.044,3.4483
C0030,OH Community 030,OH,2022,72254,16993,70474,24.13,20.13,2.7,810.8,0,-0.458,-1.8575,1.2019,1.1817,1.1675,0.8124,0.0
C0031,MI Community 031,MI,2022,125333,22897,72413,27.12,43.59,5.334,251.8,0,1.1455,2.0223,1.3875,0.2603,-1.6188,0.3705,0.0
C0032,MI Community 032,MI,2022,94826,22844,82455,28.43,41.79,2.004,383.5,1,-1.0667,0.6208,0.3529,0.3767,0.396,-0.117,1.0546
C0033,MN Community 033,MN,2022,30788,6367,73997,18.13,29.2,4.388,1248.2,0,-1.4846,-0.4482,0.6246,1.7396,-0.6608,-1.2673,0.0
C0034,OH Community 034,OH,2022,41010,9158,36596,38.58,17.2,0.05,249.6,0,-0.9536,-0.6235,0.9047,0.6441,0.1603,1.2058,0.0
C0035,NC Community 035,NC,2022,89556,23372,69541,27.04,21.33,4.541,1939.2,1,0.9876,-2.5196,-2.3565,0.8145,0.4031,-1.0646,1.1166
C0036,MA Community 036,MA,2022,174878,38703,67970,29.11,24.93,0.855,1569.0,0,-0.3704,1.1875,-0.4796,2.3223,-1.8848,-0.9561,0.0
C0037,MI Community 037,MI,2022,49072,11124,78289,26.44,42.49,3.215,235.4,0,-2.0714,0.8088,1.0325,0.0657,1.6734,-1.3303,0.0
C0038,OH Community 038,OH,2022,71434,17746,118444,8.02,53.98,2.956,1793.0,2,-0.3644,0.776,0.9726,-1.2713,-0.222,0.5155,2.7998
C0039,NY Community 039,NY,2022,99416,21871,61504,22.02,19.44,2.345,2313.6,0,1.4388,1.3456,0.0842,0.5795,0.9432,-1.7956,0.0
C0040,MN Community 040,MN,2022,62207,17150,46412,31.45,37.21,3.949,1754.8,0,-0.0207,0.2859,-0.1396,0.7629,2.638,-0.301,0.0
C0041,VA Community 041,VA,2022,134926,35648,97868,25.23,42.22,6.109,5564.2,1,0.1622,1.8278,0.5386,0.0056,0.3917,-0.0142,0.7411
C0042,CO Community 042,CO,2022,50779,11063,96508,28.82,41.05,3.499,517.7,0,-0.6378,-0.2179,0.5948,0.2211,-1.0036,-0.278,0.0
C0043,IL Community 043,IL,2022,35191,8380,89516,24.2,25.76,0.722,567.7,0,0.9603,-0.5488,-0.7965,0.1828,-1.0476,-1.131,0.0
C0044,FL Community 044,FL,2022,25552,6093,51987,30.88,20.99,0.05,203.3,0,2.0527,0.3313,-1.2985,0.9927,0.0903,-0.9908,0.0
C0045,GA Community 045,GA,2022,28618,7854,22000,44.98,18.68,4.032,851.6,0,-2.0956,-1.1985,0.1778,-1.2963,0.416,0.0258,0.0
C0046,NY Community 046,NY,2022,41142,10375,93581,21.16,37.95,3.972,569.6,0,-0.2494,0.7955,0.1018,-1.2639,1.5005,-0.0776,0.0
C0047,WA Community 047,WA,2022,59770,11292,61813,24.63,29.77,1.692,444.7,0,0.1361,-0.7023,0.9971,-1.3905,0.438,0.296,0.0
C0048,WI Community 048,WI,2022,6588,1374,55339,29.52,20.47,0.05,2290.4,0,0.1026,1.901,1.5124,1.3391,-2.521,0.3085,0.0
C0049,AZ Community 049,AZ,2022,50235,9975,55848,32.45,19.64,0.586,13144.3,0,0.0631,-0.2683,1.1705,-0.9674,-0.8423,1.0511,0.0
C0050,CA Community 050,CA,2022,52372,13631,22000,32.75,6.0,0.834,474.8,0,-1.4659,0.1107,0.0124,-0.1222,-0.2521,1.2677,0.0
C0051,MI Community 051,MI,2022,7747,1552,50193,40.34,26.06,1.57,233.2,0,0.1966,-1.5822,1.0703,0.9731,-0.6681,-0.6226,0.0
C0052,AZ Community 052,AZ,2022,52672,11043,58282,31.19,32.5,1.865,1855.8,0,0.917,-0.1509,-0.48,0.3463,0.6533,0.2069,0.0
C0053,MN Community 053,MN,2022,77344,15612,56546,32.73,38.06,3.941,235.7,0,0.4288,-0.835,0.3254,-1.0024,0.2622,2.0276,0.0
C0054,NY Community 054,NY,2022,42383,10018,39611,43.8,13.94,0.725,3192.3,0,0.0189,-1.4487,0.1068,0.2284,1.3005,-1.9407,0.0
C0055,GA Community 055,GA,2022,32713,5944,37716,39.45,9.36,3.067,694.9,0,-1.9036,-0.3864,-1.8885,-0.1408,0.4485,-0.6304,0.0
C0056,MI Community 056,MI,2022,6492,1354,69276,26.18,36.71,2.041,1099.5,0,-1.09,-0.2055,-0.5238,-0.5031,-0.3663,0.7856,0.0
C0057,WI Community 057,WI,2022,41705,10661,79869,25.23,27.41,5.01,470.1,0,-0.3268,0.1505,-1.7204,1.1787,1.0829,-0.8148,0.0
C0058,TN Community 058,TN,2022,127181,27031,81235,27.26,48.19,4.4,148.3,0,0.6936,1.5725,-0.6434,1.5505,-0.2334,0.0926,0.0
C0059,GA Community 059,GA,2022,26864,5712,52363,30.73,33.21,2.148,1154.6,0,-0.1856,2.0243,-0.0075,-0.3123,-0.0946,-0.5489,0.0
C0060,TN Community 060,TN,2022,57564,13592,69120,24.14,27.08,2.78,456.8,0,-0.0023,0.5192,-0.8184,0.7346,0.7367,-1.5884,0.0
C0061,GA Community 061,GA,2022,90575,22736,86466,21.82,27.63,2.508,672.6,0,0.0307,0.0183,-0.1202,-0.9002,-2.0643,0.406,0.0
C0062,FL Community 062,FL,2022,94925,18386,85904,28.26,37.53,5.969,2026.0,0,0.1627,0.3314,1.4631,1.3981,1.2224,-1.0669,0.0
C0063,AZ Community 063,AZ,2022,103746,22799,104404,19.82,44.44,2.848,1143.8,2,-0.2162,0.0462,0.5966,0.296,0.4681,-1.9127,1.9278
C0064,TX Community 064,TX,2022,39495,8737,65831,27.84,29.24,2.633,798.9,0,-0.254,0.0934,0.8591,1.264,1.3515,-0.1879,0.0
C0065,VA Community 065,VA,2022,112859,23459,73956,26.03,46.24,3.328,1480.1,1,-0.6998,-0.2738,0.3581,0.5564,-1.9036,0.1235,0.8861
C0066,IL Community 066,IL,2022,158436,33075,82342,28.06,33.68,0.736,1770.0,0,0.0964,-1.4379,0.8195,-0.1033,-0.0306,0.9304,0.0
C0067,VA Community 067,VA,2022,104201,24129,45281,38.57,25.06,1.06,4644.9,0,-0.2118,0.8174,-0.6677,2.616,0.6644,0.6033,0.0
C0068,NC Community 068,NC,2022,38989,7607,106516,13.51,61.7,3.558,258.5,0,0.5973,0.8862,0.4256,-0.0001,1.6455,-0.5775,0.0
C0069,MO Community 069,MO,2022,58945,11313,102395,20.97,56.28,4.888,73.0,0,0.8538,0.5738,0.2932,-0.2035,0.1245,1.245,0.0
C0070,CO Community 070,CO,2022,27480,7099,65907,32.06,40.2,0.2,539.8,0,-0.0913,-0.0765,0.0015,-0.2926,0.4293,-1.4161,0.0
C0071,MN Community 071,MN,2022,100912,20502,70445,31.84,38.0,1.72,2738.7,0,-1.6776,-0.9834,-0.2732,1.3766,-1.3208,0.6546,0.0
C0072,TN Community 072,TN,2022,32053,6611,109653,12.57,46.87,4.029,724.3,0,1.0545,1.0858,-0.8059,-1.0597,-0.5278,-1.2271,0.0
C0073,NC Community 073,NC,2022,86903,19479,55363,35.59,26.99,2.628,1058.8,0,-1.4491,2.2061,1.8844,-0.6131,-1.5565,-0.3884,0.0
C0074,NC Community 074,NC,2022,105349,22946,61787,33.85,48.24,0.077,2647.2,0,0.3817,1.7798,1.1578,0.7245,-1.7384,-1.1014,0.0
C0075,CA Community 075,CA,2022,8025,2289,66313,21.75,31.15,1.652,365.0,0,-0.4574,1.9774,0.0104,-0.5879,-1.1384,1.3656,0.0
C0076,OH Community 076,OH,2022,267114,65215,108004,20.08,46.05,3.99,869.9,0,-1.2255,-1.2447,0.0665,-0.0154,-0.6083,0.5411,0.0
C0077,OH Community 077,OH,2022,64196,13175,37916,33.22,19.44,3.602,99.7,0,0.5211,1.2674,-0.3761,-0.0493,0.1214,-1.9609,0.0
C0078,MN Community 078,MN,2022,17591,4044,96525,20.35,45.71,4.494,9866.5,0,-0.5496,-0.4208,-0.0045,0.6767,1.5568,0.1267,0.0
C0079,MA Community 079,MA,2022,37621,9283,41007,30.06,34.77,1.231,639.7,0,-0.3896,0.4834,-1.6964,-0.983,1.1051,-1.0699,0.0
C0080,VA Community 080,VA,2022,59813,13174,76999,27.63,31.78,1.988,1055.4,0,0.6806,-0.3806,0.9759,0.7716,0.0415,0.8398,0.0
C0081,NC Community 081,NC,2022,36196,7939,36934,34.82,6.0,2.87,345.4,0,-0.3639,-2.057,-0.7033,-1.8374,0.2064,1.5175,0.0
C0082,GA Community 082,GA,2022,42646,9603,59674,29.45,25.84,1.669,2996.5,0,2.0149,-0.7283,1.2086,0.757,0.3955,1.7829,0.0
C0083,WA Community 083,WA,2022,34811,6381,75521,20.42,27.68,3.317,217.3,0,1.7485,-0.8172,0.1837,0.6865,0.2006,0.9141,0.0
C0084,OR Community 084,OR,2022,78048,19715,87996,20.97,42.08,1.642,185.7,1,-1.0958,0.5532,-0.5119,0.4256,1.2569,-1.2624,1.2813
C0085,IL Community 085,IL,2022,125157,21807,58110,30.01,29.51,0.053,507.2,0,0.1141,0.6083,0.6271,-0.2734,0.2363,1.9417,0.0
C0086,WA Community 086,WA,2022,102015,23059,81810,26.17,39.48,1.27,1256.0,0,0.288,0.0446,-0.0339,-2.0174,1.4946,-0.3139,0.0
C0087,OH Community 087,OH,2022,197574,40463,37102,30.2,26.75,0.05,559.3,0,-0.6054,-0.9346,1.2465,0.6188,0.4919,-1.0858,0.0
C0088,NC Community 088,NC,2022,67160,15579,56033,33.89,22.96,2.902,1208.7,0,0.1983,0.3488,0.6785,0.7657,0.0222,0.4842,0.0
C0089,MI Community 089,MI,2022,75241,15952,37054,32.18,21.42,1.697,1293.4,0,-0.7566,0.4431,1.812,0.0319,0.6699,0.672,0.0
C0090,MO Community 090,MO,2022,80329,17034,71798,20.68,35.75,2.673,994.1,0,0.9117,0.0356,-0.5472,-0.8648,-0.4896,-2.0062,0.0
C0091,FL Community 091,FL,2022,30539,5541,57843,33.06,33.33,3.675,548.6,0,0.6025,1.3718,0.0052,0.6948,-0.137,0.5799,0.0
C0092,AZ Community 092,AZ,2022,157996,36816,103808,16.93,34.56,2.873,143.5,0,-0.9752,-0.7877,1.7959,-3.1123,0.2305,2.1644,0.0
C0093,MO Community 093,MO,2022,97624,14609,75144,25.61,38.22,3.544,497.4,0,1.847,0.9558,0.0328,0.5051,-0.1741,0.742,0.0
C0094,PA Community 094,PA,2022,131048,30956,61671,31.47,40.11,2.247,657.4,0,1.1864,-0.0868,0.6804,1.2735,-0.2626,-0.4643,0.0
C0095,MO Community 095,MO,2022,35440,7895,44488,37.25,18.5,0.05,561.7,0,-0.1014,-0.9042,0.5371,0.0417,-0.4001,0.8899,0.0
C0096,WA Community 096,WA,2022,85927,15813,59766,28.25,28.01,2.678,413.5,2,-0.4355,0.7156,1.2401,0.1108,1.0394,-0.0803,2.3276
C0097,MI Community 097,MI,2022,24964,5569,74276,23.61,32.82,3.885,4840.4,0,0.7895,-0.8063,1.7055,0.0036,1.5414,-0.823,0.0
C0098,TN Community 098,TN,2022,15313,2907,78538,25.78,29.74,2.678,1058.9,0,0.4566,1.8598,-1.3183,-1.5799,0.9572,-0.1369,0.0
C0099,OR Community 099,OR,2022,86618,18362,49118,31.8,24.37,4.287,1481.9,0,-1.0092,0.4938,0.3558,-1.2659,0.1716,0.2581,0.0
C0100,AZ Community 100,AZ,2022,110837,25909,44919,31.92,27.08,0.608,235.2,0,-0.8418,0.2196,1.9854,-0.6728,-0.7598,0.8054,0.0
C0101,MA Community 101,MA,2022,202520,45040,44696,26.5,16.86,1.609,380.9,0,-0.3029,3.0616,0.6425,0.6767,-0.1963,0.0164,0.0
C0102,MN Community 102,MN,2022,93506,24326,56326,28.71,33.77,0.05,1191.4,0,-1.4405,2.3285,0.3283,-0.3254,0.461,0.8054,0.0
C0103,OH Community 103,OH,2022,70217,16008,38687,27.78,29.21,2.915,4125.1,0,-0.4961,-0.6849,0.7417,2.7594,-1.3094,0.4918,0.0
