city_key,city_name,state,county_fips,county_name
adak,Adak,AK,02016,Aleutians West
akhiok,Akhiok,AK,02150,Kodiak Island
akiachak,Akiachak,AK,02050,Bethel
akiak,Akiak,AK,02050,Bethel
akutan,Akutan,AK,02013,Aleutians East
alakanuk,Alakanuk,AK,02158,Kusilvak
alatna,Alatna,AK,02290,Yukon-Koyukuk
alcan border,Alcan Border,AK,02240,Southeast Fairbanks
aleknagik,Aleknagik,AK,02070,Dillingham
aleneva,Aleneva,AK,02150,Kodiak Island
aleutians east census subarea,Aleutians East census subarea,AK,02013,Aleutians East
aleutians west census subarea,Aleutians West census subarea,AK,02016,Aleutians West
allakaket,Allakaket,AK,02290,Yukon-Koyukuk
ambler,Ambler,AK,02188,Northwest Arctic
anaktuvuk pass,Anaktuvuk Pass,AK,02185,North Slope
anchor point,Anchor Point,AK,02122,Kenai Peninsula
anchorage,Anchorage,AK,02020,Anchorage
anchorage census subarea,Anchorage census subarea,AK,02020,Anchorage
anderson,Anderson,AK,02068,Denali
angoon,Angoon,AK,02105,Hoonah-Angoon
aniak,Aniak,AK,02050,Bethel
aniak census subarea,Aniak census subarea,AK,02050,Bethel
anvik,Anvik,AK,02290,Yukon-Koyukuk
arctic village,Arctic Village,AK,02290,Yukon-Koyukuk
atka,Atka,AK,02016,Aleutians West
atmautluak,Atmautluak,AK,02050,Bethel
atqasuk,Atqasuk,AK,02185,North Slope
attu station,Attu Station,AK,02016,Aleutians West
badger,Badger,AK,02090,Fairbanks North Star
bear creek,Bear Creek,AK,02122,Kenai Peninsula
beaver,Beaver,AK,02290,Yukon-Koyukuk
beluga,Beluga,AK,02122,Kenai Peninsula
bethel,Bethel,AK,02050,Bethel
bettles,Bettles,AK,02290,Yukon-Koyukuk
big delta,Big Delta,AK,02240,Southeast Fairbanks
big lake,Big Lake,AK,02170,Matanuska-Susitna
birch creek,Birch Creek,AK,02290,Yukon-Koyukuk
brevig mission,Brevig Mission,AK,02180,Nome
bristol bay census subarea,Bristol Bay census subarea,AK,02060,Bristol Bay
buckland,Buckland,AK,02188,Northwest Arctic
buffalo soapstone,Buffalo Soapstone,AK,02170,Matanuska-Susitna
butte,Butte,AK,02170,Matanuska-Susitna
cantwell,Cantwell,AK,02068,Denali
central,Central,AK,02290,Yukon-Koyukuk
chalkyitsik,Chalkyitsik,AK,02290,Yukon-Koyukuk
chase,Chase,AK,02170,Matanuska-Susitna
chefornak,Chefornak,AK,02050,Bethel
chena ridge,Chena Ridge,AK,02090,Fairbanks North Star
chenega,Chenega,AK,02063,Chugach
chevak,Chevak,AK,02158,Kusilvak
chickaloon,Chickaloon,AK,02170,Matanuska-Susitna
chicken,Chicken,AK,02240,Southeast Fairbanks
chignik,Chignik,AK,02164,Lake and Peninsula
chignik lagoon,Chignik Lagoon,AK,02164,Lake and Peninsula
chignik lake,Chignik Lake,AK,02164,Lake and Peninsula
chiniak,Chiniak,AK,02150,Kodiak Island
chisana,Chisana,AK,02066,Copper River
chistochina,Chistochina,AK,02066,Copper River
chitina,Chitina,AK,02066,Copper River
chuathbaluk,Chuathbaluk,AK,02050,Bethel
chugach census subarea,Chugach census subarea,AK,02063,Chugach
circle,Circle,AK,02290,Yukon-Koyukuk
clam gulch,Clam Gulch,AK,02122,Kenai Peninsula
clark's point,Clark's Point,AK,02070,Dillingham
coffman cove,Coffman Cove,AK,02198,Prince of Wales-Hyder
cohoe,Cohoe,AK,02122,Kenai Peninsula
cold bay,Cold Bay,AK,02013,Aleutians East
coldfoot,Coldfoot,AK,02290,Yukon-Koyukuk
college,College,AK,02090,Fairbanks North Star
cooper landing,Cooper Landing,AK,02122,Kenai Peninsula
copper center,Copper Center,AK,02066,Copper River
copper river census subarea,Copper River census subarea,AK,02066,Copper River
cordova,Cordova,AK,02063,Chugach
covenant life,Covenant Life,AK,02100,Haines
craig,Craig,AK,02198,Prince of Wales-Hyder
crooked creek,Crooked Creek,AK,02050,Bethel
crown point,Crown Point,AK,02122,Kenai Peninsula
deering,Deering,AK,02188,Northwest Arctic
delta junction,Delta Junction,AK,02240,Southeast Fairbanks
deltana,Deltana,AK,02240,Southeast Fairbanks
denali census subarea,Denali census subarea,AK,02068,Denali
denali park,Denali Park,AK,02068,Denali
diamond ridge,Diamond Ridge,AK,02122,Kenai Peninsula
dillingham,Dillingham,AK,02070,Dillingham
dillingham census subarea,Dillingham census subarea,AK,02070,Dillingham
diomede,Diomede,AK,02180,Nome
dot lake,Dot Lake,AK,02240,Southeast Fairbanks
dot lake village,Dot Lake Village,AK,02240,Southeast Fairbanks
dry creek,Dry Creek,AK,02240,Southeast Fairbanks
eagle,Eagle,AK,02240,Southeast Fairbanks
eagle village,Eagle Village,AK,02240,Southeast Fairbanks
eareckson station,Eareckson Station,AK,02016,Aleutians West
edna bay,Edna Bay,AK,02198,Prince of Wales-Hyder
eek,Eek,AK,02050,Bethel
egegik,Egegik,AK,02164,Lake and Peninsula
eielson afb,Eielson AFB,AK,02090,Fairbanks North Star
ekwok,Ekwok,AK,02070,Dillingham
elfin cove,Elfin Cove,AK,02105,Hoonah-Angoon
elim,Elim,AK,02180,Nome
emmonak,Emmonak,AK,02158,Kusilvak
ester,Ester,AK,02090,Fairbanks North Star
eureka roadhouse,Eureka Roadhouse,AK,02170,Matanuska-Susitna
evansville,Evansville,AK,02290,Yukon-Koyukuk
excursion inlet,Excursion Inlet,AK,02100,Haines
fairbanks,Fairbanks,AK,02090,Fairbanks North Star
fairbanks north star census subarea,Fairbanks North Star census subarea,AK,02090,Fairbanks North Star
false pass,False Pass,AK,02013,Aleutians East
farm loop,Farm Loop,AK,02170,Matanuska-Susitna
farmers loop,Farmers Loop,AK,02090,Fairbanks North Star
ferry,Ferry,AK,02068,Denali
fishhook,Fishhook,AK,02170,Matanuska-Susitna
flat,Flat,AK,02290,Yukon-Koyukuk
four mile road,Four Mile Road,AK,02290,Yukon-Koyukuk
fox,Fox,AK,02090,Fairbanks North Star
fox river,Fox River,AK,02122,Kenai Peninsula
fritz creek,Fritz Creek,AK,02122,Kenai Peninsula
ft greely,Fort Greely,AK,02240,Southeast Fairbanks
ft yukon,Fort Yukon,AK,02290,Yukon-Koyukuk
funny river,Funny River,AK,02122,Kenai Peninsula
gakona,Gakona,AK,02066,Copper River
galena,Galena,AK,02290,Yukon-Koyukuk
gambell,Gambell,AK,02180,Nome
game creek,Game Creek,AK,02105,Hoonah-Angoon
gateway,Gateway,AK,02170,Matanuska-Susitna
glacier view,Glacier View,AK,02170,Matanuska-Susitna
glennallen,Glennallen,AK,02066,Copper River
goldstream,Goldstream,AK,02090,Fairbanks North Star
golovin,Golovin,AK,02180,Nome
goodnews bay,Goodnews Bay,AK,02050,Bethel
grayling,Grayling,AK,02290,Yukon-Koyukuk
gulkana,Gulkana,AK,02066,Copper River
gustavus,Gustavus,AK,02105,Hoonah-Angoon
haines,Haines,AK,02100,Haines
haines census subarea,Haines census subarea,AK,02100,Haines
halibut cove,Halibut Cove,AK,02122,Kenai Peninsula
happy valley,Happy Valley,AK,02122,Kenai Peninsula
harding-birch lakes,Harding-Birch Lakes,AK,02090,Fairbanks North Star
healy,Healy,AK,02068,Denali
healy lake,Healy Lake,AK,02240,Southeast Fairbanks
hobart bay,Hobart Bay,AK,02195,Petersburg
hollis,Hollis,AK,02198,Prince of Wales-Hyder
holy cross,Holy Cross,AK,02290,Yukon-Koyukuk
homer,Homer,AK,02122,Kenai Peninsula
hoonah,Hoonah,AK,02105,Hoonah-Angoon
hoonah-angoon census subarea,Hoonah-Angoon census subarea,AK,02105,Hoonah-Angoon
hooper bay,Hooper Bay,AK,02158,Kusilvak
hope,Hope,AK,02122,Kenai Peninsula
houston,Houston,AK,02170,Matanuska-Susitna
hughes,Hughes,AK,02290,Yukon-Koyukuk
huslia,Huslia,AK,02290,Yukon-Koyukuk
hydaburg,Hydaburg,AK,02198,Prince of Wales-Hyder
hyder,Hyder,AK,02198,Prince of Wales-Hyder
hyder census subarea,Hyder census subarea,AK,02198,Prince of Wales-Hyder
igiugig,Igiugig,AK,02164,Lake and Peninsula
iliamna,Iliamna,AK,02164,Lake and Peninsula
ivanof bay,Ivanof Bay,AK,02164,Lake and Peninsula
juneau census subarea,Juneau census subarea,AK,02110,Juneau
juneau city and,Juneau city and,AK,02110,Juneau
kachemak,Kachemak,AK,02122,Kenai Peninsula
kake,Kake,AK,02198,Prince of Wales-Hyder
kaktovik,Kaktovik,AK,02185,North Slope
kalifornsky,Kalifornsky,AK,02122,Kenai Peninsula
kaltag,Kaltag,AK,02290,Yukon-Koyukuk
karluk,Karluk,AK,02150,Kodiak Island
kasaan,Kasaan,AK,02198,Prince of Wales-Hyder
kasigluk,Kasigluk,AK,02050,Bethel
kasilof,Kasilof,AK,02122,Kenai Peninsula
kenai,Kenai,AK,02122,Kenai Peninsula
kenai-cook inlet census subarea,Kenai-Cook Inlet census subarea,AK,02122,Kenai Peninsula
kenny lake,Kenny Lake,AK,02066,Copper River
ketchikan,Ketchikan,AK,02130,Ketchikan Gateway
ketchikan census subarea,Ketchikan census subarea,AK,02130,Ketchikan Gateway
kiana,Kiana,AK,02188,Northwest Arctic
king cove,King Cove,AK,02013,Aleutians East
king salmon,King Salmon,AK,02060,Bristol Bay
kipnuk,Kipnuk,AK,02050,Bethel
kivalina,Kivalina,AK,02188,Northwest Arctic
klawock,Klawock,AK,02198,Prince of Wales-Hyder
klukwan,Klukwan,AK,02105,Hoonah-Angoon
klukwan census subarea,Klukwan census subarea,AK,02105,Hoonah-Angoon
knik river,Knik River,AK,02170,Matanuska-Susitna
knik-fairview,Knik-Fairview,AK,02170,Matanuska-Susitna
kobuk,Kobuk,AK,02188,Northwest Arctic
kodiak,Kodiak,AK,02150,Kodiak Island
kodiak island census subarea,Kodiak Island census subarea,AK,02150,Kodiak Island
kodiak station,Kodiak Station,AK,02150,Kodiak Island
kokhanok,Kokhanok,AK,02164,Lake and Peninsula
koliganek,Koliganek,AK,02070,Dillingham
kongiganak,Kongiganak,AK,02050,Bethel
kotlik,Kotlik,AK,02158,Kusilvak
