county_fips,county_name,state,land_area_sqmi,lat,lon
01001,Autauga County,AL,594.455,32.532237,-86.64644
01003,Baldwin County,AL,1589.863,30.659218,-87.746067
01005,Barbour County,AL,885.008,31.870253,-85.405104
01007,Bibb County,AL,622.47,33.015893,-87.127148
01009,Blount County,AL,644.891,33.977358,-86.56644
01011,Bullock County,AL,622.815,32.101759,-85.717261
01013,Butler County,AL,776.839,31.751667,-86.681969
01015,Calhoun County,AL,605.89,33.770516,-85.827909
01017,Chambers County,AL,596.554,32.915504,-85.394032
01019,Cherokee County,AL,553.524,34.069515,-85.654242
01021,Chilton County,AL,692.837,32.854051,-86.726607
01023,Choctaw County,AL,913.479,31.990954,-88.248889
01025,Clarke County,AL,1238.42,31.685521,-87.818624
01027,Clay County,AL,603.962,33.2704,-85.863525
01029,Cleburne County,AL,560.105,33.671964,-85.516126
01031,Coffee County,AL,678.986,31.402258,-85.989602
01033,Colbert County,AL,592.953,34.703112,-87.801457
01035,Conecuh County,AL,850.279,31.430926,-86.988722
01037,Coosa County,AL,650.909,32.931445,-86.243482
01039,Covington County,AL,1030.571,31.243987,-86.448721
01041,Crenshaw County,AL,608.865,31.730311,-86.320038
01043,Cullman County,AL,734.739,34.131923,-86.869267
01045,Dale County,AL,561.113,31.430654,-85.609476
01047,Dallas County,AL,978.738,32.333526,-87.11436
01049,DeKalb County,AL,777.077,34.460915,-85.804021
01051,Elmore County,AL,618.516,32.597229,-86.142735
01053,Escambia County,AL,945.408,31.122287,-87.16841
01055,Etowah County,AL,535.105,34.047641,-86.034263
01057,Fayette County,AL,627.684,33.716157,-87.764292
01059,Franklin County,AL,633.959,34.441989,-87.842814
01061,Geneva County,AL,574.485,31.092382,-85.821022
01063,Greene County,AL,647.023,32.844497,-87.9642
01065,Hale County,AL,643.99,32.752796,-87.623061
01067,Henry County,AL,561.892,31.516978,-85.239971
01069,Houston County,AL,579.826,31.158183,-85.296411
01071,Jackson County,AL,1078.015,34.764114,-85.980056
01073,Jefferson County,AL,1111.54,33.553444,-86.896536
01075,Lamar County,AL,604.846,33.787085,-88.087431
01077,Lauderdale County,AL,668.018,34.904168,-87.651108
01079,Lawrence County,AL,690.684,34.529776,-87.321865
01081,Lee County,AL,607.545,32.604064,-85.353048
01083,Limestone County,AL,563.404,34.810239,-86.981399
01085,Lowndes County,AL,716.085,32.147888,-86.650586
01087,Macon County,AL,608.665,32.387027,-85.692887
01089,Madison County,AL,801.602,34.764238,-86.55108
01091,Marengo County,AL,976.898,32.247591,-87.791091
01093,Marion County,AL,742.342,34.138219,-87.881551
01095,Marshall County,AL,565.845,34.309564,-86.321668
01097,Mobile County,AL,1229.374,30.684572,-88.196568
01099,Monroe County,AL,1025.669,31.580353,-87.383342
01101,Montgomery County,AL,785.355,32.202881,-86.204461
01103,Morgan County,AL,579.669,34.454484,-86.846402
01105,Perry County,AL,719.67,32.639005,-87.293827
01107,Pickens County,AL,881.408,33.2968,-88.096864
01109,Pike County,AL,672.067,31.798653,-85.941608
01111,Randolph County,AL,580.55,33.296461,-85.464064
01113,Russell County,AL,641.182,32.289811,-85.18698
01115,St. Clair County,AL,631.57,33.719491,-86.311327
01117,Shelby County,AL,785.441,33.266893,-86.661007
01119,Sumter County,AL,903.826,32.597481,-88.200057
01121,Talladega County,AL,736.817,33.369314,-86.17593
01123,Tallapoosa County,AL,716.528,32.863308,-85.799618
01125,Tuscaloosa County,AL,1320.848,33.29022,-87.522783
01127,Walker County,AL,791.03,33.791558,-87.301094
01129,Washington County,AL,1080.255,31.408503,-88.212404
01131,Wilcox County,AL,887.858,31.990082,-87.304935
01133,Winston County,AL,612.998,34.154566,-87.365346
02013,Aleutians East Borough,AK,6986.254,55.245044,-161.997477
02016,Aleutians West Census Area,AK,4393.026,51.948964,179.621188
02020,Anchorage Municipality,AK,1707.004,61.17425,-149.284329
02050,Bethel Census Area,AK,40638.578,60.929141,-160.152625
02060,Bristol Bay Borough,AK,481.952,58.741661,-156.966805
02063,Chugach Census Area,AK,9530.193,60.488474,-146.203092
02066,Copper River Census Area,AK,24692.42,62.034479,-143.922167
02068,Denali Borough,AK,12641.049,63.682039,-150.027016
02070,Dillingham Census Area,AK,18333.994,59.543326,-158.267123
02090,Fairbanks North Star Borough,AK,7334.752,64.670454,-146.496061
02100,Haines Borough,AK,2343.605,59.098404,-135.575791
02105,Hoonah-Angoon Census Area,AK,6559.711,58.403336,-135.884909
02110,Juneau City and Borough,AK,2704.203,58.37291,-134.178445
02122,Kenai Peninsula Borough,AK,16017.53,60.366668,-152.322283
02130,Ketchikan Gateway Borough,AK,4857.02,55.449938,-131.106685
02150,Kodiak Island Borough,AK,6689.481,57.7044,-153.918372
02158,Kusilvak Census Area,AK,17077.09,62.283588,-163.190171
02164,Lake and Peninsula Borough,AK,23831.86,58.108507,-156.413413
02170,Matanuska-Susitna Borough,AK,24707.306,62.265626,-149.503993
02180,Nome Census Area,AK,22969.508,64.783686,-164.188912
