school,conference,host,sport,season,method,n_players
Clemson,ACC,clemsontigers.com,mens-tennis,2022,devalue,9
Clemson,ACC,clemsontigers.com,mens-tennis,2023,devalue,9
Clemson,ACC,clemsontigers.com,mens-tennis,2024,devalue,9
Clemson,ACC,clemsontigers.com,mens-tennis,2025,devalue,9
Clemson,ACC,clemsontigers.com,mens-tennis,2026,devalue,9
Clemson,ACC,clemsontigers.com,womens-tennis,2022,devalue,10
Clemson,ACC,clemsontigers.com,womens-tennis,2023,devalue,10
Clemson,ACC,clemsontigers.com,womens-tennis,2024,devalue,10
Clemson,ACC,clemsontigers.com,womens-tennis,2025,devalue,10
Clemson,ACC,clemsontigers.com,womens-tennis,2026,devalue,10
Boston College,ACC,bceagles.com,mens-tennis,2022,devalue,13
Boston College,ACC,bceagles.com,mens-tennis,2023,devalue,12
Boston College,ACC,bceagles.com,mens-tennis,2024,devalue,14
Boston College,ACC,bceagles.com,mens-tennis,2025,devalue,13
Boston College,ACC,bceagles.com,mens-tennis,2026,devalue,13
Boston College,ACC,bceagles.com,womens-tennis,2022,devalue,8
Boston College,ACC,bceagles.com,womens-tennis,2023,devalue,8
Boston College,ACC,bceagles.com,womens-tennis,2024,devalue,9
Boston College,ACC,bceagles.com,womens-tennis,2025,devalue,9
Boston College,ACC,bceagles.com,womens-tennis,2026,devalue,7
Duke,ACC,goduke.com,mens-tennis,2022,devalue,12
Duke,ACC,goduke.com,mens-tennis,2023,devalue,10
Duke,ACC,goduke.com,mens-tennis,2024,devalue,10
Duke,ACC,goduke.com,mens-tennis,2025,devalue,13
Duke,ACC,goduke.com,mens-tennis,2026,devalue,8
Duke,ACC,goduke.com,womens-tennis,2022,devalue,8
Duke,ACC,goduke.com,womens-tennis,2023,devalue,9
Duke,ACC,goduke.com,womens-tennis,2024,devalue,7
Duke,ACC,goduke.com,womens-tennis,2025,devalue,8
Duke,ACC,goduke.com,womens-tennis,2026,devalue,7
California,ACC,calbears.com,mens-tennis,2022,devalue,9
California,ACC,calbears.com,mens-tennis,2023,devalue,10
California,ACC,calbears.com,mens-tennis,2024,devalue,12
California,ACC,calbears.com,mens-tennis,2025,devalue,11
California,ACC,calbears.com,mens-tennis,2026,devalue,11
California,ACC,calbears.com,womens-tennis,2022,devalue,10
California,ACC,calbears.com,womens-tennis,2023,devalue,9
California,ACC,calbears.com,womens-tennis,2024,devalue,10
California,ACC,calbears.com,womens-tennis,2025,devalue,11
California,ACC,calbears.com,womens-tennis,2026,devalue,9
Florida State,ACC,seminoles.com,mens-tennis,2022,devalue,12
Florida State,ACC,seminoles.com,mens-tennis,2023,devalue,10
Florida State,ACC,seminoles.com,mens-tennis,2024,devalue,9
Florida State,ACC,seminoles.com,mens-tennis,2025,devalue,10
Florida State,ACC,seminoles.com,mens-tennis,2026,devalue,7
Florida State,ACC,seminoles.com,womens-tennis,2022,devalue,7
Florida State,ACC,seminoles.com,womens-tennis,2023,devalue,10
Florida State,ACC,seminoles.com,womens-tennis,2024,devalue,10
Florida State,ACC,seminoles.com,womens-tennis,2025,devalue,9
Florida State,ACC,seminoles.com,womens-tennis,2026,devalue,9
Louisville,ACC,gocards.com,mens-tennis,2022,devalue,9
Louisville,ACC,gocards.com,mens-tennis,2023,devalue,9
Louisville,ACC,gocards.com,mens-tennis,2024,devalue,11
Louisville,ACC,gocards.com,mens-tennis,2025,devalue,11
Louisville,ACC,gocards.com,mens-tennis,2026,devalue,9
Louisville,ACC,gocards.com,womens-tennis,2022,devalue,10
Louisville,ACC,gocards.com,womens-tennis,2023,devalue,10
Louisville,ACC,gocards.com,womens-tennis,2024,devalue,8
Louisville,ACC,gocards.com,womens-tennis,2025,devalue,8
Louisville,ACC,gocards.com,womens-tennis,2026,devalue,9
North Carolina,ACC,goheels.com,mens-tennis,2022,devalue,10
North Carolina,ACC,goheels.com,mens-tennis,2023,devalue,12
North Carolina,ACC,goheels.com,mens-tennis,2024,devalue,11
North Carolina,ACC,goheels.com,mens-tennis,2025,devalue,10
North Carolina,ACC,goheels.com,mens-tennis,2026,devalue,11
North Carolina,ACC,goheels.com,womens-tennis,2022,devalue,11
North Carolina,ACC,goheels.com,womens-tennis,2023,devalue,10
North Carolina,ACC,goheels.com,womens-tennis,2024,devalue,11
North Carolina,ACC,goheels.com,womens-tennis,2025,devalue,10
North Carolina,ACC,goheels.com,womens-tennis,2026,devalue,11
NC State,ACC,gopack.com,mens-tennis,2022,devalue,11
NC State,ACC,gopack.com,mens-tennis,2023,devalue,7
NC State,ACC,gopack.com,mens-tennis,2024,devalue,10
NC State,ACC,gopack.com,mens-tennis,2025,devalue,9
NC State,ACC,gopack.com,mens-tennis,2026,devalue,8
NC State,ACC,gopack.com,womens-tennis,2022,devalue,8
NC State,ACC,gopack.com,womens-tennis,2023,devalue,9
NC State,ACC,gopack.com,womens-tennis,2024,devalue,8
NC State,ACC,gopack.com,womens-tennis,2025,devalue,8
NC State,ACC,gopack.com,womens-tennis,2026,devalue,9
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2022,devalue,8
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2023,devalue,8
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2024,devalue,8
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2025,devalue,8
Georgia Tech,ACC,ramblinwreck.com,mens-tennis,2026,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2022,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2023,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2024,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2025,devalue,8
Georgia Tech,ACC,ramblinwreck.com,womens-tennis,2026,devalue,8
Notre Dame,ACC,fightingirish.com,mens-tennis,2022,devalue,10
Notre Dame,ACC,fightingirish.com,mens-tennis,2023,devalue,10
Notre Dame,ACC,fightingirish.com,mens-tennis,2024,devalue,10
Notre Dame,ACC,fightingirish.com,mens-tennis,2025,devalue,10
Notre Dame,ACC,fightingirish.com,mens-tennis,2026,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2022,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2023,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2024,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2025,devalue,10
Notre Dame,ACC,fightingirish.com,womens-tennis,2026,devalue,10
SMU,ACC,smumustangs.com,mens-tennis,2022,legacy-html,17
SMU,ACC,smumustangs.com,mens-tennis,2023,legacy-html,15
SMU,ACC,smumustangs.com,mens-tennis,2024,legacy-html,18
SMU,ACC,smumustangs.com,mens-tennis,2025,legacy-html,14
SMU,ACC,smumustangs.com,mens-tennis,2026,legacy-html,11
SMU,ACC,smumustangs.com,womens-tennis,2022,legacy-html,12
SMU,ACC,smumustangs.com,womens-tennis,2023,legacy-html,9
SMU,ACC,smumustangs.com,womens-tennis,2024,legacy-html,8
SMU,ACC,smumustangs.com,womens-tennis,2025,legacy-html,8
SMU,ACC,smumustangs.com,womens-tennis,2026,legacy-html,9
Stanford,ACC,gostanford.com,mens-tennis,2022,devalue,12
Stanford,ACC,gostanford.com,mens-tennis,2023,devalue,10
Stanford,ACC,gostanford.com,mens-tennis,2024,devalue,12
Stanford,ACC,gostanford.com,mens-tennis,2025,devalue,10
Stanford,ACC,gostanford.com,mens-tennis,2026,devalue,10
Stanford,ACC,gostanford.com,womens-tennis,2022,devalue,10
Stanford,ACC,gostanford.com,womens-tennis,2023,devalue,9
Stanford,ACC,gostanford.com,womens-tennis,2024,devalue,11
Stanford,ACC,gostanford.com,womens-tennis,2025,devalue,9
Stanford,ACC,gostanford.com,womens-tennis,2026,devalue,9
Virginia Tech,ACC,hokiesports.com,mens-tennis,2022,devalue,12
Virginia Tech,ACC,hokiesports.com,mens-tennis,2023,devalue,12
Virginia Tech,ACC,hokiesports.com,mens-tennis,2024,devalue,14
Virginia Tech,ACC,hokiesports.com,mens-tennis,2025,devalue,10
Virginia Tech,ACC,hokiesports.com,mens-tennis,2026,devalue,10
Virginia Tech,ACC,hokiesports.com,womens-tennis,2022,devalue,15
Virginia Tech,ACC,hokiesports.com,womens-tennis,2023,devalue,14
Virginia Tech,ACC,hokiesports.com,womens-tennis,2024,devalue,12
Virginia Tech,ACC,hokiesports.com,womens-tennis,2025,devalue,9
Virginia Tech,ACC,hokiesports.com,womens-tennis,2026,devalue,9
Wake Forest,ACC,godeacs.com,mens-tennis,2022,devalue,16
Wake Forest,ACC,godeacs.com,mens-tennis,2023,devalue,13
Wake Forest,ACC,godeacs.com,mens-tennis,2024,devalue,16
Wake Forest,ACC,godeacs.com,mens-tennis,2025,devalue,19
Wake Forest,ACC,godeacs.com,mens-tennis,2026,devalue,9
Wake Forest,ACC,godeacs.com,womens-tennis,2022,devalue,10
Wake Forest,ACC,godeacs.com,womens-tennis,2023,devalue,9
