season,player_name,gender,school,conference,hometown_raw,county_fips,county_name,geo_state,match
2016,Henrik Bladelius,M,Clemson,ACC,"Alingsås, Sweden",,,,international
2016,Noah Cherubino,M,Clemson,ACC,Spain,,,,international
2016,Matisse Farzam,M,Clemson,ACC,"Norwalk, Conn.",09190,Western Connecticut,CT,exact
2016,Romain Gales,M,Clemson,ACC,"Quimper, France",,,,international
2016,Viktor Markov,M,Clemson,ACC,"Sofia, Bulgaria",,,,international
2016,Marko Mesarovic,M,Clemson,ACC,"Austin, Texas",48453,Travis,TX,exact
2016,Noa Vukadin,M,Clemson,ACC,"Zagreb, Croatia",,,,international
2016,Tiago Pires,M,Clemson,ACC,France,,,,international
2016,Bruno Kuzuhara,M,Clemson,ACC,"Coconut Creek, Fla.",12011,Broward,FL,exact
2017,Henrik Bladelius,M,Clemson,ACC,"Alingsås, Sweden",,,,international
2017,Noah Cherubino,M,Clemson,ACC,Spain,,,,international
2017,Matisse Farzam,M,Clemson,ACC,"Norwalk, Conn.",09190,Western Connecticut,CT,exact
2017,Romain Gales,M,Clemson,ACC,"Quimper, France",,,,international
2017,Viktor Markov,M,Clemson,ACC,"Sofia, Bulgaria",,,,international
2017,Marko Mesarovic,M,Clemson,ACC,"Austin, Texas",48453,Travis,TX,exact
2017,Noa Vukadin,M,Clemson,ACC,"Zagreb, Croatia",,,,international
2017,Tiago Pires,M,Clemson,ACC,France,,,,international
2017,Bruno Kuzuhara,M,Clemson,ACC,"Coconut Creek, Fla.",12011,Broward,FL,exact
2018,Henrik Bladelius,M,Clemson,ACC,"Alingsås, Sweden",,,,international
2018,Noah Cherubino,M,Clemson,ACC,Spain,,,,international
2018,Matisse Farzam,M,Clemson,ACC,"Norwalk, Conn.",09190,Western Connecticut,CT,exact
2018,Romain Gales,M,Clemson,ACC,"Quimper, France",,,,international
2018,Viktor Markov,M,Clemson,ACC,"Sofia, Bulgaria",,,,international
2018,Marko Mesarovic,M,Clemson,ACC,"Austin, Texas",48453,Travis,TX,exact
2018,Noa Vukadin,M,Clemson,ACC,"Zagreb, Croatia",,,,international
2018,Tiago Pires,M,Clemson,ACC,France,,,,international
2018,Bruno Kuzuhara,M,Clemson,ACC,"Coconut Creek, Fla.",12011,Broward,FL,exact
2019,Henrik Bladelius,M,Clemson,ACC,"Alingsås, Sweden",,,,international
2019,Noah Cherubino,M,Clemson,ACC,Spain,,,,international
2019,Matisse Farzam,M,Clemson,ACC,"Norwalk, Conn.",09190,Western Connecticut,CT,exact
2019,Romain Gales,M,Clemson,ACC,"Quimper, France",,,,international
2019,Viktor Markov,M,Clemson,ACC,"Sofia, Bulgaria",,,,international
2019,Marko Mesarovic,M,Clemson,ACC,"Austin, Texas",48453,Travis,TX,exact
