season,player_name,gender,school,conference,division,hometown_raw,source_url
2016,Henrik Bladelius,M,Clemson,ACC,D1,"Alingsås, Sweden",https://clemsontigers.com/sports/mens-tennis/roster?season=2015-16
2016,Noah Cherubino,M,Clemson,ACC,D1,Spain,https://clemsontigers.com/sports/mens-tennis/roster?season=2015-16
2016,Matisse Farzam,M,Clemson,ACC,D1,"Norwalk, Conn.",https://clemsontigers.com/sports/mens-tennis/roster?season=2015-16
2016,Romain Gales,M,Clemson,ACC,D1,"Quimper, France",https://clemsontigers.com/sports/mens-tennis/roster?season=2015-16
2016,Viktor Markov,M,Clemson,ACC,D1,"Sofia, Bulgaria",https://clemsontigers.com/sports/mens-tennis/roster?season=2015-16
2016,Marko Mesarovic,M,Clemson,ACC,D1,"Austin, Texas",https://clemsontigers.com/sports/mens-tennis/roster?season=2015-16
2016,Noa Vukadin,M,Clemson,ACC,D1,"Zagreb, Croatia",https://clemsontigers.com/sports/mens-tennis/roster?season=2015-16
2016,Tiago Pires,M,Clemson,ACC,D1,France,https://clemsontigers.com/sports/mens-tennis/roster?season=2015-16
2016,Bruno Kuzuhara,M,Clemson,ACC,D1,"Coconut Creek, Fla.",https://clemsontigers.com/sports/mens-tennis/roster?season=2015-16
2017,Henrik Bladelius,M,Clemson,ACC,D1,"Alingsås, Sweden",https://clemsontigers.com/sports/mens-tennis/roster?season=2016-17
2017,Noah Cherubino,M,Clemson,ACC,D1,Spain,https://clemsontigers.com/sports/mens-tennis/roster?season=2016-17
2017,Matisse Farzam,M,Clemson,ACC,D1,"Norwalk, Conn.",https://clemsontigers.com/sports/mens-tennis/roster?season=2016-17
2017,Romain Gales,M,Clemson,ACC,D1,"Quimper, France",https://clemsontigers.com/sports/mens-tennis/roster?season=2016-17
2017,Viktor Markov,M,Clemson,ACC,D1,"Sofia, Bulgaria",https://clemsontigers.com/sports/mens-tennis/roster?season=2016-17
2017,Marko Mesarovic,M,Clemson,ACC,D1,"Austin, Texas",https://clemsontigers.com/sports/mens-tennis/roster?season=2016-17
2017,Noa Vukadin,M,Clemson,ACC,D1,"Zagreb, Croatia",https://clemsontigers.com/sports/mens-tennis/roster?season=2016-17
2017,Tiago Pires,M,Clemson,ACC,D1,France,https://clemsontigers.com/sports/mens-tennis/roster?season=2016-17
2017,Bruno Kuzuhara,M,Clemson,ACC,D1,"Coconut Creek, Fla.",https://clemsontigers.com/sports/mens-tennis/roster?season=2016-17
2018,Henrik Bladelius,M,Clemson,ACC,D1,"Alingsås, Sweden",https://clemsontigers.com/sports/mens-tennis/roster?season=2017-18
2018,Noah Cherubino,M,Clemson,ACC,D1,Spain,https://clemsontigers.com/sports/mens-tennis/roster?season=2017-18
2018,Matisse Farzam,M,Clemson,ACC,D1,"Norwalk, Conn.",https://clemsontigers.com/sports/mens-tennis/roster?season=2017-18
2018,Romain Gales,M,Clemson,ACC,D1,"Quimper, France",https://clemsontigers.com/sports/mens-tennis/roster?season=2017-18
2018,Viktor Markov,M,Clemson,ACC,D1,"Sofia, Bulgaria",https://clemsontigers.com/sports/mens-tennis/roster?season=2017-18
2018,Marko Mesarovic,M,Clemson,ACC,D1,"Austin, Texas",https://clemsontigers.com/sports/mens-tennis/roster?season=2017-18
2018,Noa Vukadin,M,Clemson,ACC,D1,"Zagreb, Croatia",https://clemsontigers.com/sports/mens-tennis/roster?season=2017-18
2018,Tiago Pires,M,Clemson,ACC,D1,France,https://clemsontigers.com/sports/mens-tennis/roster?season=2017-18
