county_fips,tennis_courts
06037,4904
36103,3550
17031,2356
48201,2190
04013,2123
06073,2102
36059,2033
12099,2002
06059,1868
06065,1762
13121,1589
12086,1395
12011,1333
06085,1301
13067,1283
24031,1257
13135,1252
48113,1200
48029,1195
25017,1118
53033,1113
51059,1046
12021,1044
42091,1036
26125,1023
12071,915
36119,914
27053,910
12095,901
48453,893
37119,884
32003,872
48439,855
06001,795
37183,790
06081,776
39061,743
06071,739
12103,733
26163,731
17043,707
06067,706
17097,697
29189,687
42029,685
09190,676
09110,675
04019,670
39049,665
06013,658
06111,637
48085,627
12057,623
18097,623
13117,619
24005,616
55079,597
49035,583
25001,571
34003,564
08005,553
06083,549
39035,546
12031,544
48157,538
15003,531
34023,518
36055,515
36029,513
42003,507
25009,505
45045,505
12115,504
41067,502
12009,498
25021,490
48215,487
25027,485
26081,481
35001,476
47157,470
24033,468
42045,468
12127,455
34021,454
42101,454
36081,453
45019,449
48121,441
10003,440
55025,438
34035,435
13089,433
06097,433
34027,432
06019,431
20091,429
34025,426
42017,420
48141,419
39113,405
34013,403
45079,402
08059,397
16001,395
09170,393
40109,392
48491,391
47037,388
12081,387
27123,385
01073,384
25023,382
12117,372
34029,364
21111,361
33011,357
06041,357
49049,356
08031,356
51107,356
06053,352
11001,350
24003,349
37081,349
31055,347
20173,345
26161,343
39153,340
12101,339
53061,334
45013,332
51153,331
27037,329
53053,327
40143,327
13057,326
48339,326
12105,323
53063,321
18057,320
06029,318
12109,313
41051,310
42071,310
23005,306
06075,303
19153,303
47065,301
08041,299
17197,298
48355,297
29095,288
45063,288
51087,287
25003,286
06079,286
12111,284
55133,284
47093,283
17089,282
18003,278
36047,276
34007,274
37063,274
26099,274
34005,272
51810,271
06055,269
36067,268
36071,267
06061,266
25005,266
36001,266
41005,266
26139,265
48303,264
39095,262
48061,261
44009,261
25013,260
01089,259
33015,258
09160,258
44007,254
01003,254
13051,253
18089,252
36027,249
42077,249
08013,247
12073,247
37067,246
51041,246
06077,243
10005,239
08069,239
06095,239
42011,235
05119,235
26077,234
24027,234
01097,224
26065,224
12061,223
12033,220
24510,218
27003,218
34039,217
06087,217
48167,216
37129,215
17111,213
39017,212
18141,211
24021,211
12085,208
12097,208
22033,208
48039,207
12001,204
13139,204
21067,203
34001,203
09180,202
19113,200
39165,199
32031,199
12087,199
08035,197
42095,196
09140,196
51003,193
50007,193
33003,193
42133,188
45051,188
37021,188
45083,188
27163,187
06099,187
48423,187
04021,186
36091,185
26049,184
28049,183
36087,183
25025,183
15001,181
36061,181
12015,181
48041,180
51710,178
12069,178
22071,177
37135,177
47187,176
39041,175
01101,175
12091,174
23031,172
51013,171
33009,171
55127,171
53035,171
55009,171
13021,169
44005,168
09120,165
13115,165
25007,164
35049,163
22055,160
36085,160
42041,160
48027,160
41017,160
34017,159
39151,158
42043,158
31109,158
36111,156
18039,154
34015,154
13215,152
53011,152
36005,152
48209,152
48479,151
29047,151
15009,150
45091,150
36065,149
17201,149
51760,149
42129,148
53077,148
51700,148
19163,147
29077,147
48265,147
55139,145
33013,145
48245,145
48091,145
08001,144
37179,144
37025,144
37019,144
26055,143
22017,143
04025,142
42127,142
17113,141
05007,141
13223,141
34009,141
48441,140
09130,139
37051,139
18081,139
48309,138
34031,136
26121,136
01125,136
29183,136
41039,135
51510,135
12131,135
12005,135
26021,134
13097,134
39099,134
36069,134
25015,133
16027,132
36105,132
22103,132
39093,131
29510,131
42089,131
06107,130
12083,130
28047,129
13151,128
55087,127
08123,127
45015,126
24025,126
18105,125
17119,125
17163,125
27145,124
17019,123
20177,123
49011,123
41047,122
51680,121
01117,121
23009,121
23011,120
39055,119
36113,118
13059,118
48451,118
06113,118
49057,117
53067,117
50025,116
36063,115
50027,115
17161,115
42079,114
36083,114
48329,113
42027,113
24017,113
37125,112
36007,112
53005,112
37035,111
26047,111
39057,110
48251,110
37089,110
26025,110
49005,110
13127,108
37071,108
27137,107
38017,106
53073,105
27171,105
26089,104
18063,104
39085,103
27109,103
22073,103
42049,103
08037,103
12035,102
39025,102
08101,101
48485,101
26145,101
36093,100
54039,100
29019,99
27139,99
41029,98
13245,98
13113,98
26005,98
26093,98
13185,98
45043,97
05143,96
49053,96
24047,96
01081,96
55101,96
51085,95
72127,95
18167,95
36013,95
45041,94
13219,93
16013,93
08097,93
55059,93
33001,93
10001,93
06047,92
13073,92
37001,92
06089,91
18157,91
37057,91
37031,91
51650,91
25011,91
45007,91
55131,91
46099,91
06007,90
21117,90
51550,90
55089,89
42069,89
51177,89
22051,88
23017,88
18091,88
28035,87
50023,87
18085,87
47149,87
24043,87
22019,86
18127,86
44003,86
53007,85
17167,85
55117,84
12019,84
37159,83
26103,83
45077,83
17143,83
47163,83
24037,83
55063,83
12017,83
37097,82
48183,82
19103,82
18035,82
28121,82
06017,81
26029,81
51179,80
